iter	RMSE
0	1048.654924
1	1026.175281
2	1004.656963
3	983.8683023
4	963.2965723
5	943.4827724
6	924.3354512
7	906.0345227
8	888.3467172
9	871.7000466
10	855.7526227
11	840.4348111
12	825.0903144
13	810.9342721
14	796.884457
15	783.3917162
16	770.2736919
17	757.6414596
18	745.8892652
19	734.3133976
20	723.228743
21	712.5083544
22	702.1728125
23	692.6285954
24	683.4608217
25	674.4820148
26	666.1493578
27	657.7456654
28	649.9379392
29	642.6413814
30	635.4651833
31	628.7570066
32	622.3162215
33	615.9469957
34	609.6538709
35	603.7342481
36	598.1408935
37	592.6313932
38	587.4486296
39	582.6250918
40	577.6278017
41	572.6768335
42	568.2179139
43	563.923287
44	559.5719024
45	555.3746252
46	551.5103386
47	547.9710973
48	544.5071762
49	541.1094431
50	538.1488392
51	535.1545507
52	532.1014415
53	529.3230514
54	526.5202105
55	523.9306929
56	521.5535353
57	519.0496575
58	516.8032586
59	514.5885892
60	512.2262225
61	509.9862336
62	507.9581515
63	506.0504339
64	504.147736
65	502.2714879
66	500.5248487
67	498.8125809
68	497.2228196
69	495.7987943
70	494.361884
71	492.8791866
72	491.3738698
73	490.0818148
74	488.7576693
75	487.4613569
76	486.2574669
77	484.9497109
78	483.657892
79	482.476315
80	481.2508125
81	480.1986234
82	479.1107676
83	478.0324016
84	476.9992172
85	475.9927437
86	475.1148064
87	473.976685
88	472.9811239
89	472.038837
90	470.9468092
91	469.9066178
92	468.9762609
93	468.0441937
94	467.2058083
95	466.4554269
96	465.6549278
97	464.9777473
98	464.0866921
99	463.5975353
100	463.1496466
101	462.3375815
102	461.8522713
103	461.259711
104	460.6679205
105	460.1209853
106	459.550489
107	458.4989774
108	457.9568659
109	457.0266251
110	456.2838638
111	455.3556606
112	454.6968555
113	454.2012283
114	453.5376589
115	452.8820683
116	452.5421336
117	452.0435605
118	451.4377195
119	451.0208974
120	450.584002
121	450.0191282
122	449.5714235
123	448.8556173
124	448.4583867
125	447.7506746
126	447.5185786
127	447.0555028
128	446.6075786
129	446.1996515
130	445.5610608
131	445.2130273
132	444.6341144
133	444.1151341
134	443.5986014
135	443.206582
136	442.7743701
137	442.3666524
138	441.9799742
139	441.7411387
140	441.4206838
141	441.1369778
142	440.7779281
143	440.4208328
144	440.1173267
145	439.8825561
146	439.6599672
147	439.389991
148	439.0912014
149	438.8671804
150	438.6136146
151	438.0785946
152	437.7566744
153	437.5802038
154	437.4219488
155	437.2089159
156	436.9495692
157	436.7698577
158	436.6196389
159	436.4453772
160	436.1750342
161	435.9146051
162	435.5783457
163	435.4002023
164	435.2514023
165	435.0616703
166	434.4437198
167	433.9880301
168	433.4426887
169	433.2545965
170	432.6307197
171	432.2626113
172	431.6749602
173	431.5226669
174	431.0350333
175	430.4850493
176	430.2808878
177	429.3890859
178	429.1830222
179	428.8610078
180	428.6671754
181	428.4665578
182	428.3307517
183	428.172683
184	427.6844863
185	427.2828976
186	427.1327525
187	426.658342
188	426.4408041
189	426.3217113
190	426.1925789
191	425.7656553
192	425.5976664
193	425.4723651
194	425.3187962
195	425.0966979
196	424.8577038
197	424.6970181
198	424.5555069
199	424.4521228
200	424.3627154
201	424.2019567
202	423.9652911
203	423.4104585
204	423.3312847
205	423.0918712
206	422.9597084
207	421.9927292
208	421.5323335
209	421.4499318
210	421.3242109
211	421.1675125
212	420.9478581
213	420.7258205
214	420.6117107
215	420.4862319
216	420.4075948
217	420.2216831
218	419.7463135
219	419.0304009
220	418.8854642
221	418.4722843
222	418.1759242
223	417.805255
224	417.7106619
225	417.549731
226	417.1911959
227	416.8268486
228	416.4377846
229	416.2779961
230	415.621004
231	415.4457244
232	415.0590341
233	414.7735188
234	414.627437
235	414.5561924
236	414.3879443
237	414.2557123
238	414.1356927
239	414.0021357
240	413.9333569
241	413.6982221
242	413.43478
243	413.3887519
244	413.2318729
245	412.9404564
246	412.3426454
247	412.3411184
248	411.7619689
249	411.6036938
250	411.4816191
251	411.340112
252	411.2392764
253	411.1360491
254	410.7816726
255	410.6105659
256	410.6095688
257	410.5073057
258	410.2545972
259	410.1510127
260	410.0764421
261	409.677083
262	409.5646286
263	408.9544643
264	408.7985068
265	408.4758978
266	408.3480846
267	408.2114415
268	408.1441257
269	408.0692805
270	407.7711797
271	407.6779402
272	407.6040732
273	407.5493
274	407.3783852
275	407.2112168
276	407.1352077
277	406.1880506
278	405.9804805
279	405.8156788
280	405.6746211
281	405.6084423
282	405.4430014
283	405.2041971
284	405.1213414
285	404.8578707
286	404.8006024
287	404.0863447
288	403.8634374
289	403.8168079
290	403.7225734
291	403.5564408
292	403.4791633
293	403.4135273
294	403.296696
295	403.1880207
296	403.0675542
297	402.9471464
298	402.8361355
299	402.6049707
300	402.2106767
301	402.1502238
302	401.9863518
303	401.7984888
304	401.700196
305	401.6257654
306	401.5835221
307	400.8208134
308	400.5887347
309	400.3627013
310	400.223853
311	400.0933652
312	399.981636
313	399.837913
314	399.7811386
315	399.6970554
316	399.5619615
317	399.4314803
318	399.382813
319	399.3049343
320	399.1658063
321	399.0402267
322	398.9975262
323	398.7814629
324	398.6837713
325	398.5536719
326	398.342537
327	398.2099516
328	398.1084833
329	398.0200176
330	397.8971716
331	397.832893
332	397.7752838
333	397.6706682
334	397.5471434
335	397.2316765
336	397.0217934
337	396.9069393
338	396.871023
339	396.7847216
340	396.4622492
341	396.3908211
342	396.297025
343	396.255398
344	396.2213031
345	396.1626218
346	395.6317079
347	395.5492205
348	395.3492891
349	395.2508876
350	395.0711347
351	394.7090024
352	394.7066771
353	394.6115787
354	394.4361173
355	393.8499812
356	393.7250474
357	393.6303838
358	393.5616072
359	393.4595114
360	393.246452
361	392.8154329
362	392.7584047
363	392.5889327
364	392.4361314
365	392.3593064
366	392.3022869
367	392.2420715
368	392.0688297
369	391.9765324
370	391.9500059
371	391.8229517
372	391.7205866
373	391.639083
374	391.5666787
375	391.504345
376	391.4374613
377	391.3116519
378	391.207794
379	391.1361541
380	391.0751605
381	391.0335226
382	390.9615083
383	390.8896574
384	390.7504584
385	390.6561842
386	390.5462824
387	390.4458089
388	390.3516769
389	390.2827148
390	389.9786857
391	389.9113176
392	389.8623173
393	389.7476827
394	389.7253453
395	389.6671294
396	389.4177541
397	389.235361
398	389.1301433
399	389.0471347
400	388.5115651
401	388.4378274
402	388.4046152
403	388.3535654
404	387.815034
405	387.6980003
406	387.5749023
407	387.5191245
408	387.4345599
409	387.3898692
410	387.3893142
411	387.3254567
412	387.3249662
413	387.1126167
414	387.0346029
415	386.9470562
416	386.4375933
417	386.4029753
418	385.9565125
419	385.9558389
420	385.8510906
421	385.825245
