iter	Passed	Remaining
0	1748	872398
1	3533	879794
2	5240	868201
3	7265	900936
4	9952	985319
5	12880	1060463
6	15222	1072098
7	16967	1043484
8	18668	1018487
9	20492	1004117
10	22255	989344
11	24188	983653
12	26444	990663
13	27907	968785
14	29618	957657
15	31844	963307
16	33508	952046
17	35295	945142
18	36891	933938
19	38442	922608
20	39993	912238
21	41961	911701
22	43821	908824
23	45725	906884
24	47467	901887
25	49285	898516
26	50927	892169
27	52814	890293
28	54503	885206
29	56038	877929
30	57899	875970
31	59485	869981
32	61027	863636
33	62373	854882
34	64110	851755
35	65711	846949
36	67540	845170
37	69190	841210
38	70757	836391
39	72229	830641
40	73681	824873
41	75228	820348
42	76830	816547
43	78476	813301
44	80019	809089
45	81597	805331
46	83132	801255
47	84681	797421
48	86409	795321
49	87988	791893
50	89726	789947
51	91474	788084
52	93062	784883
53	94504	780537
54	96247	778728
55	98068	777546
56	99548	773687
57	101121	770612
58	102780	768241
59	104660	767508
60	106226	764481
61	107762	761287
62	109358	758566
63	110894	755469
64	112497	752865
65	114161	750695
66	115660	747479
67	117451	746160
68	119121	744076
69	120640	741077
70	122343	739231
71	123662	735104
72	125274	732770
73	126749	729664
74	128516	728262
75	130205	726409
76	132090	725640
77	133684	723266
78	135290	720978
79	137063	719583
80	138782	717899
81	140520	716313
82	142082	713835
83	143634	711334
84	145234	709088
85	146535	705413
86	148386	704407
87	149923	701915
88	151575	699973
89	153247	698128
90	155079	697006
91	156632	694631
92	158342	692961
93	159860	690460
94	161474	688391
95	163204	686819
96	164821	684772
97	166524	683089
98	168078	680802
99	169737	678949
100	171166	676193
101	172789	674216
102	175306	675695
103	177371	675377
104	179135	673890
105	181020	672849
106	182974	672047
107	184614	670081
108	186153	667760
109	187950	666369
110	189961	665720
111	191762	664321
112	194142	664895
113	196542	665486
114	198449	664375
115	200579	663986
116	202784	663816
117	204818	663056
118	206639	661592
119	208376	659857
120	210036	657881
121	211614	655658
122	213219	653527
123	214938	651749
124	216490	649470
125	218381	648213
126	220167	646632
127	221993	645169
128	223894	643913
129	225562	641984
130	227298	640252
131	229120	638758
132	230727	636669
133	232411	634795
134	234112	632971
135	235866	631289
136	237367	628937
137	239212	627499
138	240952	625782
139	242531	623652
140	244366	622181
141	246107	620468
142	247896	618873
143	249597	617060
144	251276	615194
145	252893	613179
146	254577	611331
147	256477	609999
148	258161	608152
149	259808	606220
150	261489	604369
151	262965	602052
152	264892	600768
153	266728	599273
154	268332	597256
155	269878	595115
156	271649	593476
157	273771	592593
158	275345	590520
159	277052	588736
160	278976	587410
161	280530	585303
162	282194	583431
163	283992	581838
164	285634	579924
165	287593	578652
166	289545	577356
167	291349	575761
168	293077	574016
169	294900	572454
170	296701	570846
171	298420	569080
172	300125	567289
173	301914	565655
174	303650	563922
175	305445	562297
176	307242	560674
177	308979	558940
178	311023	557757
179	312902	556270
180	315177	555478
181	317354	554498
182	319756	553894
183	322115	553198
184	323954	551598
185	325753	549928
186	327543	548241
187	329328	546545
188	330735	544226
189	332546	542575
190	334142	540575
191	335783	538651
192	337615	537036
193	339545	535571
194	341369	533937
195	342905	531853
196	344694	530164
197	346722	528838
198	348733	527481
199	350443	525665
200	352386	524197
201	354145	522451
202	355793	520544
203	357573	518831
204	359491	517316
205	361319	515670
206	363010	513826
207	365270	512783
208	367242	511328
209	369150	509779
210	370871	507970
211	372795	506439
212	374711	504892
213	376339	502958
214	378250	501401
215	379889	499483
216	381665	497748
217	383583	496195
218	385165	494207
219	387196	492795
220	388973	491056
221	390677	489226
222	392139	487096
223	394168	485671
224	396203	484249
225	398267	482855
226	400529	481694
227	402945	480707
228	405076	479370
229	406826	477578
230	409317	476651
231	411292	475113
232	413334	473648
233	415700	472548
234	418053	471421
